entity_qid;iso3;source
Q470634;TUR;p27
Q47088830;NOR;p27
Q4712;FRA;p17
Q47177650;TWN;p17
Q4720176;GBR;p19_path
Q472089;ITA;p27
Q4724805;IRQ;p27
Q475942;ESP|FRA;p27
Q4802144;IND;p27
Q482718;PRK;p17
Q483008;PRK;p27
Q483672;YEM;p27
Q483800;PRK;p27
Q484359;PRK;p27
Q484453;PRK;p27
Q4845845;CZE|CSK;p27
Q484824;PRK;p27
Q485278;PRK;p27
Q485471;PRK;p27
Q485534;PRK;p27
Q485547;IND;p19_path
Q486283;PRK;p27
Q4864483;USA;p27
Q488297;TUR;p17
Q488670;PRK;p27
Q48868266;PRT;p27
Q488700;PRK;p27
Q488752;PRK;p27
Q4889027;USA;p19_path
Q4889934;USA;p27
Q48936170;TWN;p27
Q48948659;SUN|RUS;p27
Q489646;PRK;p27
Q489758;PRK;p27
Q489989;PRK;p27
Q490020;PRK;p27
Q4908608;USA;p27
Q4914;USA|ITA;p27
Q493940;PRK;p27
Q494596;SUN|RUS|BGR;p27
Q4967976;IND;p27
Q496922;SYR;p495
Q497101;PRK;p27
Q498626;PRK;p27
Q502972;FRA;p27
Q5048004;POL;p17
Q506655;THA;p27
