iso3;country;continent;area_km2;highest_point;highest_point_m;capital;latitude;longitude;avg_temp_c;avg_precip_mm;description;source_climate
RUS;Rússia;Europa;17.0754;Monte Elbrus;5642.0;Moscovo;55.750555555;37.6175;;;país eurasiático;
RWA;Ruanda;África;0.026338;Monte Karisimbi;4507.0;Quigali;-1.953611111;30.060555555;;;país na África Oriental;
SAU;Arábia Saudita;Ásia;2.25;Jabal Sawda;3133.0;Riade;24.65;46.71;;;país do Oriente Médio;
SDN;Sudão;África;1.840687;Deriba;3042.0;Cartum;15.60308;32.52654;;;país de África;
SDN;Sudão;África;1.886068;Deriba;3042.0;Cartum;15.60308;32.52654;;;país de África;
SEN;Senegal;África;0.196722;Népin Cliff;531.0;Dacar;14.672555555;-17.432;;;país na costa da África Ocidental;
SGP;Singapura;Ásia;0.0007191;Bukit Timah;163.63;Singapura;1.3;103.8;;;cidade-estado no Sudeste Asiático marítimo;
SLB;Ilhas Salomão;Oceania;0.0284;Monte Popomanaseu;2335.0;Honiara;-9.433333;159.95;;;país da Oceania;
SLB;Ilhas Salomão;Oceania;0.0284;Monte Popomanaseu;2335.0;Honiara;-9.433333;159.95;;;país da Oceania;
SLE;Serra Leoa;África;0.07174;Monte Bintumani;1945.0;Freetown;8.487222222;-13.235555555;;;país de África;
SLV;El Salvador;América do Norte e América Central;0.021041;Cerro El Pital;2730.0;San Salvador;13.697597222;-89.191155555;;;país na América Central;
SMR;San Marino;Europa;6.12e-05;Monte Titano;756.0;San Marino;43.932011111;12.44845;;;país no sul da Europa encravado pela Itália;
SOM;Somália;África;0.637657;Shimbiris;2460.0;Mogadixo;2.039166666;45.341944444;;;país situado no chifre da África (África Oriental);
SRB;Sérvia;Europa;0.088499;Velika Rudoka;2658.0;Belgrado;44.817777777;20.456944444;;;país da Europa;
SSD;Sudão do Sul;África;0.644329;Kinyeti;3187.0;Juba;4.853888888;31.5825;;;país na África Oriental;
STP;São Tomé e Príncipe;África;0.001001;Pico de São Tomé;2024.0;São Tomé;0.333333333;6.733333333;;;país no Golfo da Guiné;
SUR;Suriname;América do Sul;0.16327;Julianatop;1280.0;Paramaribo;5.866666666;-55.166666666;;;país na América do Sul;
