conflict_qid;conflict_label;empty_what
Q244356;Batalha de Ain Jalut;p17
Q1672808;Guerras confederadas irlandesas;labels
Q242644;Batalha de Caporetto;labels
Q233360;Second Battle of Corinth;labels
Q233405;Batalha do Douro (1809);labels
Q233344;Battle of the Silarius River;labels
Q1559103;Mainz Diocesan Feud;p17
Q1632880;Guerra birmano-siamesa;p17
Q245746;Battle of Hamburg;p17
Q245743;Battle of Kassel;labels
Q1540737;Guerra Hispano-Marroquina;p17
Q233379;Second Battle of Krithia;labels
Q244980;Cerco de Belgrado;p17
Q233356;Battle of Lacolle Mills;labels
Q1676845;Guerra dos Bôeres;p17
Q1747429;Hungarian-Czechoslovak-România War;p17
Q1552718;Guerra de Granada;labels
Q233402;Batalha de Nola;labels
Q234188;Batalha de Sekigahara;labels
Q1640107;Guerra de Ifni;p17
Q1520241;Yamasee War;p17
Q1669192;Fourth Sacred War;p17
Q1501724;Guerra da Restauração;p17
Q239255;Batalha de Arras;labels
Q1616064;Guerras Mitridáticas;p17
Q1791222;War of the Cow;p17
Q1771899;Reichskrieg;p17
Q2032554;Segunda Campanha de Melilla;p17
Q1966558;Saltpeter War;labels
Q1922071;Guerra Indo-Paquistanesa de 1971;p17
Q2038126;Tuscarora War;p17
Q1837308;Guerra rus'-bizantina de 941;p17
Q1851858;Dakota War of 1862;p17
Q1997806;North German Margrave War;p17
Q2013633;Salt War;p17
Q2045508;Guerra de Java;p17
Q2073517;Guerra contra Nábis;p17
Q1949299;Russo-Kazan Wars;p17
Q1891008;Guerra das Areias;p17
Q1790268;Guerra romano-parta de 161–166;p17
Q1849379;Travancore–Dutch War;p17
Q1962709;Guerra Ingriana;p17
Q2001528;Nepalese-Tibetan War;p17
Q1967193;Second conflict in the Goryeo–Khitan War;p17
Q2040276;Great Frisian War;p17
Q1805364;Franco–Lombard War of 773–774;p17
Q2060306;Red Cloud's War;labels
Q1972316;Guerra Grã-Colômbia–Peru;p17
Q1933729;Guerra Polónia-Checoslováquia;p17
Q1758978;Burmese–Siamese War of 1775–76;p17
Q1814745;Eelam War I;p17
Q1925514;Third War of the Diadochi;p17
Q1764124;Terceira Guerra Mitridática;p17
Q1780850;Campanha contra a Noruega;p17
Q2075775;Segunda Guerra Messênia;p17
Q1760930;Guerra de Paquisha;labels
Q252298;Guerra húngaro-romena de 1919;p17
Q246863;Guerra da Livónia;p17
Q327237;Guerra do Quivu;p17
Q324438;Campanha do Rossilhão;p17
Q258679;Austro-Turkish War of 1663-1664;p17
Q277392;Guerra Polaco-Otomana;p17
Q325314;Guerra de Tecumseh;p17
Q303801;Insurgência em Uganda;p17
Q260684;Alexander's Balkan campaign;p17
Q285280;Guerra da Transnístria;labels
Q322607;Guerra de Desgaste;p17
Q248984;Conquista muçulmana da Síria;p17
Q249232;Terceira Coligação;p17
