iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths;country_label_en;conflict_label_en;kind_label_en;part_of_label_en;place_label_en;result_label_en
JPN;Q17;Japão;Q116804260;Convoy SO 805;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy SO 805;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804266;Convoy SO 903;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy SO 903;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804267;Convoy SO 904;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy SO 904;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804264;Convoy SO 807;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy SO 807;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804270;Convoy SO 905;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy SO 905;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804271;Palau to Rabaul Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Palau to Rabaul Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804268;Convoy SO 904;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy SO 904;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804274;Palau to Rabaul Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Palau to Rabaul Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804273;Palau to Rabaul Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Palau to Rabaul Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116804279;Palau to Rabaul Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Palau to Rabaul Convoy;military convoy;World War II;Pacific Ocean;
