conflict_qid;conflict_label;checked_via
Q708193;Ocupação alemã de Luxemburgo durante a Segunda Guerra Mundial;both
Q107576797;Pegasus Project;both
Q666414;Invasão dos Aliados Ocidentais da Alemanha;both
Q918132;Invasão britânica de Java;both
Q952774;Invasão do Canadá;both
Q110468441;Witman Hung's birthday party scandal;both
Q108782773;Pandora Papers;both
Q670984;Rappenkrieg;both
Q654006;Segunda Guerra do Norte;both
Q655480;Quase-guerra;both
Q696848;Guerra Anglo-Iraquiana;both
Q690361;Grande Guerra;both
Q696389;Conflitos fronteiriços entre a União Soviética e o Japão;both
Q652285;Guerra Indo-Paquistanesa de 1947;both
Q694835;Guerra otomano-veneziana (1714-1718);both
Q682482;Russo-Swedish War of 1741-1743;both
Q657055;Guerra Greco-Turca;both
Q686731;Fraser Canyon War;both
Q698312;Guerra de Aroostook;both
Q701644;Ottoman–Safavid War;both
Q686564;First Serbian–Ottoman War;both
Q676068;War of Saint-Sardos;both
Q700841;Guerra Otomano-Safávida de 1532 a 1555;both
Q378392;Battle of A Shau;both
Q601152;Batalha de Oltenitza;both
Q598261;Batalha de Tricamarum;both
Q385604;Batalha de Dara;both
Q593045;Batalha de Berestechko;both
Q592091;Battle of Salta;both
Q593085;Battle of Suriname;both
Q595320;Batalha do Monte Badon;both
Q10747194;Third Mongol-Dai Viet War;both
Q1104917;Ådalen shootings;both
Q10684373;Svante Nilsson Sture's War against Denmark;both
Q9377300;Muscovite-Lithuanian War of 1561-1570;both
Q9370593;Polish–Veletian War;both
Q10952572;Guerra Civil Afegã (1928–1929);both
Q8064768;Zaian War;both
Q9377322;Polish-Ottoman War of 1485–1503;both
Q21190134;Sardinian–Aragonese War;both
Q11050383;Eelam War II;both
Q10747221;Vietnamese–Laotian War of 1467–1480;both
Q11154636;Eelam War III;both
Q9294875;Guerra Ndwandwe–Zulu;both
Q11288845;Guerra Moscovita-Ucraniana (1658–1659);both
Q9377352;Lutsk War;both
Q8077397;Æthelwold's Revolt;both
Q9377266;Alexandrian War;both
Q11121257;Camphor War;both
Q11475544;Guerras Servis;both
Q8049168;Yaqui Wars;both
Q9377321;German–Polish War of 1109;both
Q12211202;Dahis and al-Ghabra;both
Q11352145;Byzantine-Venetian War of 1118;both
Q46003;Battle of Rajovka;both
Q28703;Batalha de Brécourt Manor;both
Q29680;Batalha de Salsu;both
Q28205;Batalha do rio Vístula;both
Q44062;Battle of Nebovidy;both
Q38977;Battle of Deutschbrod;both
Q4242944;Crimean invasion of Russia;both
Q3540198;Terceira invasão francesa de Portugal;both
Q1551794;Invasão japonesa da Manchúria;both
Q4838098;Babur Mirza's Invasion of Khorasan;both
Q5282772;Campanha Republicana Irlandesa Dissidente;both
Q4553250;Bani Utbah invasion of Bahrain;both
Q4314061;1919 Soviet invasion of Ukraine;both
Q3402214;Primeira invasão francesa de Portugal;both
Q2919552;Invasões timúridas da Geórgia;both
Q3025322;Segunda invasão francesa de Portugal;both
Q3403857;Invasion of Isle de France;both
Q2394805;Norman invasion of Wales;both
Q5104273;Chola occupation of Anuradhapura;both
Q3394704;Invasion of Corsica;both
Q2890526;Invasion of Dominica;both
Q3153847;French invasions of Portugal;both
Q2672432;Invasão mongol de Java;both
Q7510198;Siege of Lingen;both
Q2305266;Invasão soviética da Polónia;both
Q3651744;Campanha britânica de Sétimo Severo;both
Q4552486;1717 Omani invasion of Bahrain;both
Q8351649;Crise dos Sudetos;both
Q3435247;Colonização anglo-saxônica da Grã-Bretanha;both
Q617650;Batalha do Medway;both
Q604993;Batalha de Cabira;both
Q4773701;Escândalos sexuais envolvendo Anthony Weiner;both
Q619049;Batalha de Andernach;both
Q388581;Segunda Batalha de Gaza;both
Q6504062;Lawrence Franklin espionage scandal;both
Q610048;Battle of Balikpapan;both
Q3002768;2008 Société Générale trading loss;both
Q604356;Battle of Tamai;both
Q276852;Battle of Slivice;both
Q301300;Battle of Java;both
Q246553;Battle of Nuremberg;both
Q286420;Battle of Fundina;both
Q251184;Battle of Signal Hill;both
Q280468;Batalha de Ap Bac;both
Q269479;Battle of Köbölkút;both
Q303445;Batalha de Salzbach;both
Q289492;Batalha de Zab;both
Q245898;Battle of Frankfurt;both
Q283984;Battle of Ihtiman;both
Q264911;Battle of Brüx;both
Q18586347;First Soviet-Finnish War;both
Q18398876;Cyprus War (390–380 BC);both
Q20987759;Kaidu–Kublai War;both
Q20987787;Esen Buqa–Ayurbarwada War;both
Q21060225;First Goryeo-Mongol War;both
Q18920712;guerra do Afeganistão (2015–2021);both
Q17077415;Iapygian-Tarentine Wars;both
Q20875683;Catalan–Genoese War;both
Q20747555;Guerra bizantino-búlgara de 913–927;both
Q21060247;Fifth Goryeo-Mongol War;both
Q21060252;Eighth Goryeo-Mongol War;both
Q21060245;Fourth Goryeo-Mongol War;both
Q18407612;First Veyentian War;both
Q18916050;Dano-Hanseatic War of 1426–1435;both
Q19716429;Fourth Samnite War;both
Q21060232;Second Goguryeo–Sui War;both
Q20105790;War of the Armanyaguesos;both
Q16974363;Eastern Theater of Eelam War IV;both
Q18406419;Nubian War;both
Q18408280;Pontic War;both
Q20579566;Byzantine–Georgian War of 1028–1030;both
Q21060253;Ninth Goryeo-Mongol War;both
Q21060233;Second Goryeo-Mongol War;both
Q19903629;Bulgar–Serb War;both
Q20443986;Second Japanese Invasion of Korea;both
Q20991944;Burmese–Siamese War of 1809–12;both
Q20991942;Burmese–Siamese War of 1662–1664;both
Q19772481;Edigu's campaign against Moscow;both
Q21060238;Third Goryeo-Mongol War;both
Q18435211;Tyrolean-Venetian War;both
Q21060248;Sixth Goryeo-Mongol War;both
Q18747325;War between Akragas and Syracuse;both
Q481334;Battle of Warsaw;both
Q478597;Battle of El Obeid;both
Q428972;Batalha de Wittstock;both
Q486124;Batalha de Badr;both
Q425535;Battle of Hakadal;both
Q486367;Battle of Chumonchin Chan;both
Q428851;Second Battle of Solskjel;both
Q476402;Battle of Umm Diwaykarat;both
Q3062439;Guerra franco-marroquina;both
Q3119079;Babylonian–Assyrian War;both
Q3118999;War of Parma;both
Q3119082;Urartu–Assyria War of 743–735 BCE;both
Q3118940;Father Le Loutre's War;both
Q3118995;Ten Years’ War;both
Q3119084;Franco-Trarzan War of 1825;both
Q3118967;Ethiopian Civil War;both
Q3042463;Guerra do Uruguai;both
Q3042457;Guerra do Prata;both
Q3119173;Avar Wars;both
Q3118998;Guerra de Licto;both
Q3118971;Guerra colombiano-equatoriana;both
Q3119015;Yakima War;both
Q3118990;Guerra da Bretanha;both
Q3119151;Ethiopian-Mahdist War;both
Q3142505;First English Civil War;both
Q3118988;Carib Expulsion;both
Q3119136;Third Ottoman–Venetian War;both
Q316604;Battle of Welfesholz;both
Q3119025;Red River War;both
Q832273;Guerra Eritreia-Etiópia;both
Q772814;Guerra das Castas;both
Q738787;Lelantine War;both
Q827286;First Bremish-Swedish War;both
Q759988;Rebelião dos Zanj;both
Q768496;Guerras das Bananas;both
Q780845;Guerra Franco-Tailandesa;both
Q777345;Mad War;both
Q807741;Guerras Berberes;both
Q823916;Dutch–Hanseatic War;both
Q773192;Lowry War;both
Q809750;Bavarian War;both
Q762191;Guerra Turco-Portuguesa;both
Q766437;Guerra do Rife;both
Q797952;Babylonian War;both
Q722713;Portuguese-Turkish War;both
Q706183;Guerra Sino-Francesa;both
Q727922;Cologne Diocesan Feud;both
Q722041;Ashanti–Akim–Akwapim War;both
Q116222;Batalha de Ferozeshah;both
Q722047;Ashanti–Fante War;both
Q703426;Goguryeo–Wa War;both
Q720936;Polish–Teutonic War of 1431–35;both
Q736268;Guerra Finlandesa;both
Q717127;Sete Ofensivas Inimigas;both
Q710709;Silla–Tang War;both
Q87779;Batalha da Floresta de Teutoburgo;both
Q737907;Guerras Latinas;both
Q55504;Batalha de Azaz;both
Q115105;Battle of Wogastisburg;both
Q714557;Guerra de Kalinga;both
Q720641;Battle of Trencsén;both
Q720100;Batalha de Sepeia;both
Q722205;Battle of Mirăslău;both
Q731564;Battle of Block Island;both
Q733364;Batalha de Megido;both
Q4122685;Chickamauga Wars;both
Q716425;Battle of Lwów;both
Q720801;Battle of Cecora;both
Q742306;Invasões da Britânia por Júlio César;both
Q717073;Battle of Kokenhausen;both
Q3414235;Poussinists and Rubenists;both
Q723957;Battle of Humenné;both
Q726829;Battle of Sahart;both
Q715416;Battle of An Lộc;both
Q3834941;Lite delle comari;both
Q716479;Batalha de Świecino;both
Q726485;Battle of Ikh Bayan;both
Q3778671;War of Padua;both
Q3651748;Guerra romano-parta de 216–217;both
Q3778702;Pompey's Jewish War;both
Q3458306;Mokrani Revolt;both
Q3778712;Campanha da Moldávia (1497-1499);both
Q3651696;Guerra Anglo-Francesa (1778–1783);both
Q3800882;Franco-Venetian War;both
Q3651751;Guerra romano-parta de 113–117;both
Q3502774;Hundred Years' Croatian–Ottoman War;both
Q3782240;First War of the Samnites;both
Q3902588;Pequena Guerra na Hungria;both
Q3237019;Guerra sino-birmanesa;both
