iso3;country;item;url_slug;ranking;score;critics;source
IDN;Indonésia;Cap cai;cap-cai;;;;tasteatlas_html
ITA;Itália;Caponata;caponata;;1;1;tasteatlas_html
ITA;Itália;Cappon magro;cappon-magro;;;;tasteatlas_html
ESP;Espanha;Caragols;caragols-spain;;;;tasteatlas_html
ITA;Itália;Carne cruda all'Albese;carne-cruda-allalbese;;;;tasteatlas_html
BRA;Brasil;Carne de sol;carne-de-sol;4;6;6;tasteatlas_html
ITA;Itália;Carne salada;carne-salada;;;;tasteatlas_html
ITA;Itália;Carpaccio;carpaccio;;1;1;tasteatlas_html
VEN;Venezuela;Casabe;casabe;;1;1;tasteatlas_html
CRI;Costa Rica;Casado;casados;1;10;10;tasteatlas_html
BRA;Brasil;Casquinhas de siri;casquinhas-de-siri;;2;2;tasteatlas_html
TWN;Taiwan;Cassava and Spareribs Soup;cassava-and-spareribs-soup;;;;tasteatlas_html
PRT;Portugal;Cataplana;cataplana;;;;tasteatlas_html
PER;Peru;Cau cau;cau-cau;1;12;12;tasteatlas_html
PER;Peru;Causa rellena;causa-rellena;1;6;6;tasteatlas_html
CAN;Canadá;Cedar-plank salmon;cedar-plank-salmon;1;5;5;tasteatlas_html
MEX;México;Cemita;cemita;;4;4;tasteatlas_html
LTU;Lituânia;Cepelinai;cepelinai;;3;3;tasteatlas_html
BIH;Bósnia e Herzegovina;Ćevapi;cevapi;2;10;10;tasteatlas_html
PER;Peru;Ceviche;ceviche;1;50;50;tasteatlas_html
ECU;Equador;Ceviche de conchas negras ecuatoriano;ceviche-de-conchas-negras-ecuador;;;;tasteatlas_html
PER;Peru;Ceviche de pulpo;ceviche-de-pulpo;;1;1;tasteatlas_html
PER;Peru;Ceviche mixto;ceviche-mixto;;3;3;tasteatlas_html
CRI;Costa Rica;Ceviche Tico;ceviche-tico;;1;1;tasteatlas_html
VNM;Vietname;Chả cá Lã Vọng;cha-ca-la-vong;;;;tasteatlas_html
VNM;Vietname;Chả giò;cha-gio;;;;tasteatlas_html
CHL;Chile;Chacarero;chacarero;;3;3;tasteatlas_html
URY;Uruguai;Chajá;chaja;;;;tasteatlas_html
ZAF;África do Sul;Chakalaka;chakalaka;;4;4;tasteatlas_html
GEO;Geórgia;Chakapuli;chakapuli;;1;1;tasteatlas_html
DZA;Argélia;Chakhchoukha;chakhchoukha;;;;tasteatlas_html
ISR;Israel;Challah;challah;;3;3;tasteatlas_html
MEX;México;Chalupa;chalupa;1;5;5;tasteatlas_html
COL;Colômbia;Changua;changua;;;;tasteatlas_html
