Iso3Start;Level;QID;Label;FormationYear;SourceFlag
ESP;2;Q1235737;Condado de Aragão;802;seed_evidence
ESP;2;Q1233672;Condado de Barcelona;801;seed_evidence
ESP;2;Q199442;Reino de Aragão;1035;seed_evidence
CHL;0;Q298;Chile;;seed
USA;0;Q30;Estados Unidos;;seed
USA;1;Q81931;Estados Confederados da América;1861;seed_evidence
USA;1;Q7887623;United Colonies;1774;seed_evidence
USA;2;Q368986;Republic of Mississippi;1861;seed_evidence
USA;2;Q179997;Treze Colônias;1607;seed_evidence
PYF;0;Q30971;Polinésia Francesa;;seed
BEL;0;Q31;Bélgica;;seed
BEL;1;Q15864;Reino Unido dos Países Baixos;1815;seed_evidence
BEL;2;Q774783;Soberano Principado dos Países Baixos Unidos;1813;seed_evidence
NFK;0;Q31057;Ilha Norfolk;;seed
CXR;0;Q31063;Ilha Christmas;;seed
LUX;0;Q32;Luxemburgo;;seed
LUX;1;Q151624;Confederação Germânica;1815;seed_evidence
LUX;2;Q27306;Reino da Prússia;1701;seed_evidence
LUX;2;Q154741;Confederação do Reno;1806;seed_evidence
LUX;2;Q18285930;Império Alemão (1848–1849);1848;seed_evidence
FIN;0;Q33;Finlândia;;seed
FIN;1;Q615902;Reino da Finlândia;1918;seed_evidence
FIN;2;Q1811029;República Socialista dos Trabalhadores da Finlândia;1918;seed_evidence
FIN;2;Q62633;Grão-Ducado da Finlândia;1809;seed_evidence
SGP;0;Q334;Singapura;;seed
NCL;0;Q33788;Nova Caledónia;;seed
SWE;0;Q34;Suécia;;seed
NIU;0;Q34020;Niue;;seed
SPM;0;Q34617;Saint-Pierre e Miquelon;;seed
LIE;0;Q347;Liechtenstein;;seed
LIE;1;Q66087897;Q66087897;1719;seed_evidence
DNK;0;Q35;Dinamarca;;seed
SGS;0;Q35086;Ilhas Geórgia do Sul e Sandwich do Sul;;seed
SGS;1;Q5431953;Falkland Islands Dependencies;1843;seed_evidence
WLF;0;Q35555;Wallis e Futuna;;seed
PCN;0;Q35672;Ilhas Pitcairn;;seed
POL;0;Q36;Polónia;;seed
POL;1;Q221457;Congresso da Polónia;1815;seed_evidence
POL;1;Q211274;República Popular da Polônia;1944;seed_evidence
POL;1;Q7308003;Conselho de Regência (Polônia);1917;seed_evidence
POL;1;Q303836;Republic of Tarnobrzeg;1918;seed_evidence
POL;1;Q9301958;Rada Narodowa Księstwa Cieszyńskiego;1918;seed_evidence
POL;2;Q11750128;Kingdom of Poland;1830;seed_evidence
POL;2;Q152115;ducado de Varsóvia;1807;seed_evidence
POL;2;Q207272;Segunda República Polonesa;1918;seed_evidence
CCK;0;Q36004;Ilhas Cocos;;seed
TKL;0;Q36823;Tokelau;;seed
LTU;0;Q37;Lituânia;;seed
LTU;1;Q15180;União Soviética;1922;seed_evidence
LTU;2;Q2369784;Interwar Latvia;1918;seed_evidence
LTU;2;Q207272;Segunda República Polonesa;1918;seed_evidence
LTU;2;Q2305208;Rússia bolchevique;1917;seed_evidence
GUF;0;Q3769;Guiana Francesa;;seed
GUF;1;Q1440788;França Equinocial;1612;seed_evidence
ITA;0;Q38;Itália;;seed
ITA;1;Q172579;Reino da Itália;1861;seed_evidence
ITA;2;Q180393;Reino das Duas Sicílias;1738;seed_evidence
ITA;2;Q548114;Estado Livre de Fiume;1920;seed_evidence
ITA;2;Q209857;Reino Lombardo-Vêneto;1815;seed_evidence
ITA;2;Q268970;Áustria Alemã;1918;seed_evidence
ITA;2;Q131964;Império Austríaco;1804;seed_evidence
ITA;2;Q2577303;Reino da Sardenha;1720;seed_evidence
ITA;2;Q165154;Reino da Sardenha;1324;seed_evidence
ITA;2;Q6006584;Imperial Free City of Trieste;1382;seed_evidence
CHE;0;Q39;Suíça;;seed
BHR;0;Q398;Bahrein;;seed
BHR;1;Q16826607;State of Bahrain;1971;seed_evidence
BHR;2;Q17061755;Bahrain and its Dependencies;1783;seed_evidence
ARM;0;Q399;Arménia;;seed
ARM;1;Q15180;União Soviética;1922;seed_evidence
ARM;2;Q545205;República Socialista Federativa Soviética Transcaucasiana;1922;seed_evidence
ARM;2;Q2369784;Interwar Latvia;1918;seed_evidence
ARM;2;Q2305208;Rússia bolchevique;1917;seed_evidence
