iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year;country_label_pt;country_label_en;lang_label_pt;lang_label_en
MLI;Q912;Q4670066;Tamasheq;national;;;;Mali;Mali;Tamasheq;Tamasheq
MLI;Q912;Q12628055;Bobo;national;;;;Mali;Mali;Bobo;Bobo
MLI;Q912;Q36660;Língua soninquê;national;;;;Mali;Mali;Língua soninquê;Soninke
MLI;Q912;Q36187;Minyanka;national;;;;Mali;Mali;Minyanka;Minyanka
MLI;Q912;Q505198;Línguas songai;national;;;;Mali;Mali;Línguas songai;Songhay
MLI;Q912;Q35021;Bozo;national;;;;Mali;Mali;Bozo;Bozo
MLT;Q233;Q1860;inglês;national;;;;Malta;Malta;inglês;English
MLT;Q233;Q9166;Maltês;national;;;;Malta;Malta;Maltês;Maltese
MMR;Q836;Q9228;birmanês;national;;;;Myanmar;Myanmar;birmanês;Burmese
MNE;Q236;Q9299;língua sérvia;national;;;;Montenegro;Montenegro;língua sérvia;Serbian
MNE;Q236;Q6654;croata;national;;;;Montenegro;Montenegro;croata;Croatian
MNE;Q236;Q9303;Língua bósnia;national;;;;Montenegro;Montenegro;Língua bósnia;Bosnian
MNE;Q236;Q8821;língua montenegrina;national;;;;Montenegro;Montenegro;língua montenegrina;Montenegrin
MNE;Q236;Q8748;língua albanesa;national;;;;Montenegro;Montenegro;língua albanesa;Albanian
MNG;Q711;Q9246;Língua mongol;national;;;;Mongólia;Mongolia;Língua mongol;Mongolian
MNP;Q16644;Q1860;inglês;national;;;;Marianas Setentrionais;Northern Mariana Islands;inglês;English
MNP;Q16644;Q33262;Língua chamorro;national;;;;Marianas Setentrionais;Northern Mariana Islands;Língua chamorro;Chamorro
MNP;Q16644;Q28427;Língua caroliniana;national;;;;Marianas Setentrionais;Northern Mariana Islands;Língua caroliniana;Carolinian
MOZ;Q1029;Q5146;português;national;;;;Moçambique;Mozambique;português;Portuguese
MRT;Q1025;Q13955;árabe;national;;;;Mauritânia;Mauritania;árabe;Arabic
MSR;Q13353;Q1860;inglês;national;;;;Monserrate;Montserrat;inglês;English
MUS;Q1027;Q1860;inglês;national;;;;Maurícia;Mauritius;inglês;English
MUS;Q1027;Q150;francês;national;;;;Maurícia;Mauritius;francês;French
MWI;Q1020;Q1860;inglês;national;;;;Malawi;Malawi;inglês;English
MWI;Q1020;Q33273;língua nianja;national;;;;Malawi;Malawi;língua nianja;Chewa
MWI;Q1020;Q34138;Língua tumbuka;national;;;;Malawi;Malawi;Língua tumbuka;Tumbuka
MYS;Q833;Q9237;malaio;national;;;;Malásia;Malaysia;malaio;Malay
MYT;Q17063;Q150;francês;national;;;;Mayotte;Mayotte;francês;French
MYT;Q17063;Q34075;shimaore;national;;;;Mayotte;Mayotte;shimaore;Maore
MYT;Q17063;Q5150795;Língua bushi;national;;;;Mayotte;Mayotte;Língua bushi;Bushi
NAM;Q1030;Q1860;inglês;national;;;;Namíbia;Namibia;inglês;English
NCL;Q33788;Q150;francês;national;;;;Nova Caledónia;New Caledonia;francês;French
NER;Q1032;Q56475;Língua haúça;national;;;;Níger;Niger;Língua haúça;Hausa
NFK;Q31057;Q1860;inglês;national;;;;Ilha Norfolk;Norfolk Island;inglês;English
NFK;Q31057;Q33797;norfuk;national;;;;Ilha Norfolk;Norfolk Island;norfuk;Norfuk
NGA;Q1033;Q1860;inglês;national;;;;Nigéria;Nigeria;inglês;English
NIC;Q811;Q1321;espanhol;national;;;;Nicarágua;Nicaragua;espanhol;Spanish
NIU;Q34020;Q1860;inglês;national;;;;Niue;Niue;inglês;English
NIU;Q34020;Q33790;Língua niueana;national;;;;Niue;Niue;Língua niueana;Niuean
NLD;Q29999;Q7411;neerlandês;national;;;;Reino dos Países Baixos;Kingdom of the Netherlands;neerlandês;Dutch
NOR;Q20;Q25164;novo norueguês;national;;;;Noruega;Norway;novo norueguês;Nynorsk
NOR;Q20;Q56463;línguas sami;national;;;;Noruega;Norway;línguas sami;Sámi
NOR;Q20;Q9043;língua norueguesa;national;;;;Noruega;Norway;língua norueguesa;Norwegian
NOR;Q20;Q25167;bokmål;national;;;;Noruega;Norway;bokmål;Bokmål
NPL;Q837;Q33823;língua nepali;national;;;;Nepal;Nepal;língua nepali;Nepali
NRU;Q697;Q13307;Língua nauruana;national;;;;Nauru;Nauru;Língua nauruana;Nauruan
NRU;Q697;Q1860;inglês;national;;;;Nauru;Nauru;inglês;English
NZL;Q664;Q1860;inglês;national;;;;Nova Zelândia;New Zealand;inglês;English
NZL;Q664;Q36451;língua maori;national;;1987;;Nova Zelândia;New Zealand;língua maori;Māori
NZL;Q664;Q36239;língua de sinais da Nova Zelândia;national;;2006;;Nova Zelândia;New Zealand;língua de sinais da Nova Zelândia;New Zealand Sign Language
OMN;Q842;Q13955;árabe;national;;;;Omã;Oman;árabe;Arabic
PAK;Q843;Q1617;Língua urdu;national;;;;Paquistão;Pakistan;Língua urdu;Urdu
