conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window
Q129864;Revolta dos Sipais;Q951444;Nana Sahib;1857-01-01T00:00:00Z;Q198;all
Q635533;Guerra do Camboja (1979–1989);Q3278067;Frente Unida Nacional para a Salvação do Kampuchea;1989-09-26T00:00:00Z;Q198;all
Q834498;Hunger War;Q48189;Ordem Teutónica;1414-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q8680;Império Britânico;1857-01-01T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q371833;Gaspar de Guzmán, Conde-Duque de Olivares;1625-01-01T00:00:00Z;Q198;all
Q832273;Guerra Eritreia-Etiópia;Q115;Etiópia;2000-06-18T00:00:00Z;Q198;all
Q1262084;Guerra Civil do Djibouti;Q1470091;Frente de Restauração da Unidade e Democracia;1994-12-26T00:00:00Z;Q198;all
Q123070;Guerra Russo-Turca;Q12560;Império Otomano;1701-01-01T00:00:00Z;Q198;all
Q166001;Guerra da Escânia;Q70972;Reino da França;1700-01-01T00:00:00Z;Q198;all
Q151663;Guerra das Comunidades de Castela;Q5157726;Comunero;1520-04-26T00:00:00Z;Q198;all
Q1382989;Rogue River Wars;Q30;Estados Unidos;1855-10-08T00:00:00Z;Q198;all
Q318250;Guerra de Ogaden;Q199841;Iémen do Sul;1977-07-12T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q83164;Companhia Britânica das Índias Orientais;1857-01-01T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q2451761;Guilherme de Nassau;1625-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q697185;Sipai;1857-01-01T00:00:00Z;Q198;all
Q879980;Guerra de Black Hawk;Q107434;Sioux;1832-08-27T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q164062;Maurício, príncipe de Orange;1625-01-01T00:00:00Z;Q198;all
Q127751;Guerra das Duas Rosas;Q105278;Casa de Lencastre;1500-01-01T00:00:00Z;Q198;all
Q127751;Guerra das Duas Rosas;Q105285;Casa de Iorque;1500-01-01T00:00:00Z;Q198;all
Q152218;Guerra dos Nove Anos;Q230791;Reino da Escócia;1688-09-27T00:00:00Z;Q198;all
Q834498;Hunger War;Q1649871;Reino da Polónia;1414-01-01T00:00:00Z;Q198;all
Q834498;Hunger War;Q49683;Grão-Ducado da Lituânia;1414-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q2355896;Jung Bahadur Rana;1857-01-01T00:00:00Z;Q198;all
Q404517;Guerra de Kargil;Q668;Índia;1999-01-01T00:00:00Z;Q198;all
Q165136;Guerra dos Suabos;Q672685;Três Ligas;1499-09-01T00:00:00Z;Q198;all
Q635533;Guerra do Camboja (1979–1989);Q867778;República Popular do Kampuchea;1989-09-26T00:00:00Z;Q198;all
Q1413732;Conflito na Caxemira;Q2722920;All Parties Hurriyat Conference;1947-01-01T00:00:00Z;Q198;all
Q879980;Guerra de Black Hawk;Q1065583;Potawatomi;1832-08-27T00:00:00Z;Q198;all
Q690361;Grande Guerra;Q29;Espanha;1593-01-01T00:00:00Z;Q198;all
Q1209946;Terceira Guerra Anglo-Birmanesa;Q8680;Império Britânico;1885-01-01T00:00:00Z;Q198;all
Q333023;Captura Teutônica de Danzig;Q148499;Margraviado de Brandeburgo;1308-11-21T00:00:00Z;Q198;all
Q638587;Guerra Russo-Turca;Q153136;Monarquia de Habsburgo;1739-10-03T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q5915498;Tulsipur State;1857-01-01T00:00:00Z;Q198;all
Q807741;Guerras Berberes;Q188586;Reino da Sicília;1805-07-18T00:00:00Z;Q198;all
Q318250;Guerra de Ogaden;Q1462545;Frente de Libertação da Somália Ocidental;1977-07-12T00:00:00Z;Q198;all
Q879980;Guerra de Black Hawk;Q4969552;British Band;1832-08-27T00:00:00Z;Q198;all
Q1413732;Conflito na Caxemira;Q843;Paquistão;1947-01-01T00:00:00Z;Q198;all
Q123070;Guerra Russo-Turca;Q1069959;Reino de Imereti;1701-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q4916371;Birjis Qadir;1857-01-01T00:00:00Z;Q198;all
Q686731;Fraser Canyon War;Q1456870;Nlaka'pamux;1858-01-01T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q170072;República das Sete Províncias Unidas dos Países Baixos;1625-01-01T00:00:00Z;Q198;all
Q165136;Guerra dos Suabos;Q687124;Liga da Suábia;1499-09-01T00:00:00Z;Q198;all
Q652285;Guerra Indo-Paquistanesa de 1947;Q2006542;Domínio do Paquistão;1947-01-01T00:00:00Z;Q198;all
Q168556;Guerra de Esmalcalda;Q155024;Liga de Esmalcalda;1546-07-20T00:00:00Z;Q198;all
Q657055;Guerra Greco-Turca;Q209065;Reino da Grécia;1897-01-01T00:00:00Z;Q198;all
Q318250;Guerra de Ogaden;Q1477220;República Democrática da Somália;1977-07-12T00:00:00Z;Q198;all
Q807741;Guerras Berberes;Q34;Suécia;1805-07-18T00:00:00Z;Q198;all
Q635533;Guerra do Camboja (1979–1989);Q2785731;Governo de Coalizão da Kampuchea Democrática;1989-09-26T00:00:00Z;Q198;all
Q318250;Guerra de Ogaden;Q828005;Derg;1977-07-12T00:00:00Z;Q198;all
Q418151;Segunda Guerra do Ópio;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1856-10-08T00:00:00Z;Q198;all
Q807741;Guerras Berberes;Q30;Estados Unidos;1805-07-18T00:00:00Z;Q198;all
