# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
time,tas (°C),ΔT (°C),model,scenario,year
2048-07-01,18.452173,2.1156178,EC-Earth3,ssp585,2048
2049-07-01,17.6999,1.3633442,EC-Earth3,ssp585,2049
2050-07-01,18.104141,1.7675858,EC-Earth3,ssp585,2050
2051-07-01,18.427275,2.0907192,EC-Earth3,ssp585,2051
2052-07-01,18.183807,1.8472519,EC-Earth3,ssp585,2052
2053-07-01,18.60797,2.2714138,EC-Earth3,ssp585,2053
2054-07-01,18.125061,1.7885056,EC-Earth3,ssp585,2054
2055-07-01,18.296288,1.959732,EC-Earth3,ssp585,2055
2056-07-01,17.364199,1.0276432,EC-Earth3,ssp585,2056
2057-07-01,18.35811,2.021555,EC-Earth3,ssp585,2057
2058-07-01,16.631495,0.29493904,EC-Earth3,ssp585,2058
2059-07-01,18.733282,2.3967266,EC-Earth3,ssp585,2059
2060-07-01,18.761856,2.4253006,EC-Earth3,ssp585,2060
2061-07-01,18.188017,1.8514614,EC-Earth3,ssp585,2061
2062-07-01,19.098516,2.761961,EC-Earth3,ssp585,2062
2063-07-01,19.835762,3.4992065,EC-Earth3,ssp585,2063
2064-07-01,18.468908,2.1323528,EC-Earth3,ssp585,2064
2065-07-01,19.704786,3.3682308,EC-Earth3,ssp585,2065
2066-07-01,18.055769,1.7192135,EC-Earth3,ssp585,2066
2067-07-01,18.496704,2.1601486,EC-Earth3,ssp585,2067
2068-07-01,18.731916,2.395361,EC-Earth3,ssp585,2068
2069-07-01,18.440819,2.1042633,EC-Earth3,ssp585,2069
2070-07-01,18.279894,1.9433384,EC-Earth3,ssp585,2070
2071-07-01,19.578125,3.2415695,EC-Earth3,ssp585,2071
2072-07-01,18.728102,2.3915462,EC-Earth3,ssp585,2072
2073-07-01,18.711372,2.374817,EC-Earth3,ssp585,2073
2074-07-01,19.104635,2.7680798,EC-Earth3,ssp585,2074
2075-07-01,18.867996,2.5314407,EC-Earth3,ssp585,2075
2076-07-01,18.886103,2.5495472,EC-Earth3,ssp585,2076
2077-07-01,20.052942,3.7163868,EC-Earth3,ssp585,2077
2078-07-01,19.529997,3.1934414,EC-Earth3,ssp585,2078
2079-07-01,20.322126,3.985571,EC-Earth3,ssp585,2079
2080-07-01,19.439077,3.102522,EC-Earth3,ssp585,2080
2081-07-01,19.951866,3.6153107,EC-Earth3,ssp585,2081
2082-07-01,19.841223,3.5046673,EC-Earth3,ssp585,2082
2083-07-01,20.415243,4.0786877,EC-Earth3,ssp585,2083
2084-07-01,19.4372,3.100645,EC-Earth3,ssp585,2084
2085-07-01,19.868689,3.532133,EC-Earth3,ssp585,2085
2086-07-01,20.57741,4.2408543,EC-Earth3,ssp585,2086
2087-07-01,19.544907,3.2083511,EC-Earth3,ssp585,2087
2088-07-01,20.465204,4.1286488,EC-Earth3,ssp585,2088
2089-07-01,19.496157,3.1596012,EC-Earth3,ssp585,2089
2090-07-01,19.910124,3.5735683,EC-Earth3,ssp585,2090
2091-07-01,19.561094,3.2245388,EC-Earth3,ssp585,2091
2092-07-01,20.16252,3.825964,EC-Earth3,ssp585,2092
2093-07-01,20.17246,3.835905,EC-Earth3,ssp585,2093
2094-07-01,20.59876,4.262205,EC-Earth3,ssp585,2094
